id;title;page_count;isbn;release_date;prices;
1332;X-Men: Days of Future Past (Trade Paperback);144;0-7851-1560-9;2029-12-31T00:00:00-0500;9.99;
1590;Official Handbook of the Marvel Universe (2004) #9 (THE WOMEN OF MARVEL);0;;2029-12-31T00:00:00-0500;3.99;
1994;Official Handbook of the Marvel Universe (2004) #13 (TEAMS);0;;2029-12-31T00:00:00-0500;3.99;
27238;Wolverine Saga (2009) #7;32;;2029-12-31T00:00:00-0500;0;
1749;Official Handbook of the Marvel Universe (2004) #11 (X-MEN - AGE OF APOCALYPSE);0;;2029-12-31T00:00:00-0500;3.99;
1886;Official Handbook of the Marvel Universe (2004) #12 (SPIDER-MAN);0;;2029-12-31T00:00:00-0500;3.99;
1689;Official Handbook of the Marvel Universe (2004) #10 (MARVEL KNIGHTS);0;;2029-12-31T00:00:00-0500;3.99;
17486;X-Men: Phoenix - Warsong (2006);0;0-7851-1931-0;2029-12-31T00:00:00-0500;0;
90481;Dawn Of X Vol. 14 (Trade Paperback);160;978-1-302-92771-4;2021-03-17T00:00:00-0400;17.99;
91303;Wolverine: Black, White & Blood (2020) #4;40;;2021-03-10T00:00:00-0500;4.99;
78733;Wolverine (2020) #10;32;;2021-02-24T00:00:00-0500;3.99;
80473;Marvel (2020) #5;40;;2021-02-17T00:00:00-0500;4.99;
91302;Wolverine: Black, White & Blood (2020) #3;40;;2021-02-10T00:00:00-0500;4.99;
78732;Wolverine (2020) #9;32;;2021-01-27T00:00:00-0500;3.99;
90321;Wolverine by Frank Cho: Savage Land (Trade Paperback);136;978-1-302-92730-1;2021-01-27T00:00:00-0500;19.99;
